"Name","Unknown 1","Value","Durability","Armor","Hit","Damage","Vitality","Mana","Might","Grace","Will","Unknown 2","Unknown 3","Class","Unknown 4","Level","Regen","Protection","Damage S","Damage L"
"Fire Sword",0,1000,750000,0,0,0,3000,1000,0,0,0,5000,0,"Peasant",0,75,0,0,5000m6000,5000m6000
"Fire Fang",0,1000,900000,0,0,0,10000,0,0,0,0,2000,0,"Peasant",0,90,0,0,6000m7000,6000m7000
"Spirit Fire Sword",0,50000,999999,0,0,0,10000,5000,0,0,0,7000,0,"Peasant",0,99,0,0,7000m8000,7000m8000
"Bloody Sword",0,100000,999999,1000,0,0,25000,0,0,0,0,8000,0,"Peasant",0,99,25000,0,8000m9000,8000m9000
"Giant Dragon Lance",0,100000,999999,0,0,0,25000,0,0,0,0,8000,0,"Peasant",0,99,0,0,8000m9000,8000m9000
"Chill Lance",0,125000,999999,0,0,0,25000,0,0,0,0,8000,0,"Peasant",0,99,0,0,8000m9000,8000m9000
"Old Light Faerie",0,25000,900000,0,0,0,20000,10000,0,0,0,8000,0,"Poet",0,99,0,0,100m100,100m100
"Machete Hooves",0,10000,500000,0,0,0,2000,0,0,0,0,0,0,"Warrior",0,50,0,0,4000m5000,4000m5000
"White Axe",0,10000,500000,0,0,0,1500,250,0,0,0,0,0,"Rogue",0,50,0,0,2000m2500,2000m2500
"Giasomo Spear",0,10000,500000,0,0,0,0,1000,0,0,0,4000,0,"Mage",0,50,0,0,100m100,100m100
"Chitin Spear",0,10000,500000,0,0,0,1000,500,0,0,0,2000,0,"Poet",0,50,10000,0,100m100,100m100
"Maxcaliber",0,7500,600000,0,0,0,3000,0,0,0,0,0,0,"Warrior",0,60,0,0,6000m7000,6000m7000
"Moon Blade",0,7500,600000,0,0,0,2250,375,0,0,0,0,0,"Rogue",0,60,0,0,3000m3500,3000m3500
"Sadistic Staff",0,7500,600000,0,0,0,0,1500,0,0,0,6000,0,"Mage",0,60,0,0,100m100,100m100
"Death Brain",0,7500,600000,0,0,0,1500,750,0,0,0,3000,0,"Poet",0,60,10000,0,100m100,100m100
"Goblin Bat",0,10000,700000,0,0,0,4000,0,0,0,0,0,0,"Warrior",0,70,0,0,8000m9000,8000m9000
"Soldier Fork",0,10000,700000,0,0,0,3000,500,0,0,0,0,0,"Rogue",0,70,0,0,4000m4500,4000m4500
"Shocker Trident",0,10000,700000,0,0,0,0,2000,0,0,0,8000,0,"Mage",0,70,0,0,100m100,100m100
"Trident",0,10000,700000,0,0,0,2000,1000,0,0,0,4000,0,"Poet",0,70,10000,0,100m100,100m100
"Electra",0,15000,750000,0,0,0,5000,0,0,0,0,0,0,"Warrior",0,80,0,0,10000m11000,10000m11000
"Spiky Dagger",0,15000,750000,0,0,0,3750,625,0,0,0,0,0,"Rogue",0,80,0,0,5000m5500,5000m5500
"Star Staff",0,15000,750000,0,0,0,0,2500,0,0,0,10000,0,"Mage",0,80,0,0,100m100,100m100
"Titan Spear",0,15000,750000,0,0,0,2500,1250,0,0,0,5000,0,"Poet",0,80,10000,0,100m100,100m100
"Spiky Bat",0,25000,950000,0,0,0,10000,0,0,0,0,0,0,"Warrior",0,90,0,0,12000m13000,12000m13000
"Bloody Sickle",0,25000,950000,0,0,0,7500,1750,0,0,0,0,0,"Rogue",0,90,0,0,6000m6500,6000m6500
"Wave Rod",0,25000,950000,0,0,0,0,5000,0,0,0,12000,0,"Mage",0,90,0,0,100m100,100m100
"Charm Rod",0,25000,950000,0,0,0,5000,2500,0,0,0,6000,0,"Poet",0,90,10000,0,100m100,100m100
"Spiky Cleaver",0,35000,999999,0,0,0,20000,0,0,0,0,0,0,"Warrior",0,99,0,0,14000m16000,14000m16000
"Bloody Cleaver",0,35000,999999,0,0,0,15000,2500,0,0,0,0,0,"Rogue",0,99,0,0,7000m8000,7000m8000
"Magic Wave Rod",0,35000,999999,0,0,0,0,10000,0,0,0,14000,0,"Mage",0,99,0,0,100m100,100m100
"Magic Charm Rod",0,35000,999999,0,0,0,10000,5000,0,0,0,7000,0,"Poet",0,99,10000,0,100m100,100m100
"Il San Spike",0,50000,999999,0,0,0,30000,0,0,0,0,0,0,"Warrior",1,99,0,0,16000m18000,16000m18000
"Il San Cleave",0,50000,999999,0,0,0,22500,3750,0,0,0,0,0,"Rogue",1,99,0,0,8000m9000,8000m9000
"Il San Wave",0,50000,999999,0,0,0,0,15000,0,0,0,16000,0,"Mage",1,99,0,0,100m100,100m100
"Il San Charm",0,50000,999999,0,0,0,15000,7500,0,0,0,8000,0,"Poet",1,99,10000,0,100m100,100m100
"Thunder Javelin",0,50000,999999,0,0,0,30000,0,0,0,0,0,0,"Warrior",0,99,0,0,16000m18000,16000m18000
"Set Stick",0,50000,999999,0,0,0,22500,3750,0,0,0,0,0,"Rogue",0,99,0,0,8000m9000,8000m9000
"Magical Dragon Staff",0,50000,999999,0,0,0,0,15000,0,0,0,16000,0,"Mage",0,99,0,0,100m100,100m100
"Snow Spear",0,50000,999999,0,0,0,15000,7500,0,0,0,8000,0,"Poet",0,99,0,0,100m100,100m100
"Mist Electra",0,250000,999999,0,0,0,35000,0,0,0,0,0,0,"Warrior",0,99,0,0,17000m19000,17000m19000
"Mist Spiky Dagger",0,250000,999999,0,0,0,26250,4375,0,0,0,0,0,"Rogue",0,99,0,0,8500m9500,8500m9500
"Mist Star Staff",0,250000,999999,0,0,0,0,17500,0,0,0,17000,0,"Mage",0,99,0,0,100m100,100m100
"Mist Titan Spear",0,250000,999999,0,0,0,17500,8750,0,0,0,8500,0,"Poet",0,99,0,0,100m100,100m100
"Kwan Sae Axe",0,500000,999999,3000,0,0,10000,10000,0,0,0,10000,-15000,"Peasant",0,99,10000,0,10000m11000,10000m11000
"OX Sword 1",0,250000,999999,1000,0,0,50000,50000,0,0,0,10000,-20000,"Peasant",0,99,10000,10000,10000m11000,10000m11000
"OX Sword 2",0,500000,999999,1000,0,0,60000,60000,0,0,0,11000,-25000,"Peasant",0,99,12000,12000,11000m12000,11000m12000
"OX Sword 3",0,750000,999999,2000,0,0,70000,70000,0,0,0,12000,-30000,"Peasant",0,99,14000,14000,12000m13000,12000m13000
"OX Sword 4",0,1250000,999999,3000,0,0,80000,80000,0,0,0,13000,-35000,"Peasant",0,99,16000,16000,13000m14000,13000m14000
"Sword of BangYin",0,150000,999999,3000,0,0,20000,20000,0,0,0,10000,-15000,"Peasant",0,99,10000,0,10000m11000,10000m11000
"Fan of Wind",0,250000,999999,-5000,0,0,0,20000,0,0,0,10000,-20000,"Peasant",0,99,20000,20000,100m100,100m100
"Ee San Spike",0,10000,999999,0,0,0,40000,0,0,0,0,0,0,"Warrior",2,99,0,0,18000m20000,18000m20000
"Ee San Cleave",0,10000,999999,0,0,0,30000,5000,0,0,0,0,0,"Rogue",2,99,0,0,9000m10000,9000m10000
"Ee San Wave",0,10000,999999,0,0,0,0,20000,0,0,0,18000,0,"Mage",2,99,0,0,100m100,100m100
"Ee San Charm",0,10000,999999,0,0,0,20000,10000,0,0,0,9000,0,"Poet",2,99,10000,0,100m100,100m100
"Seven Leaf Sword",0,1250000,999999,2000,0,0,50000,50000,5,5,5,10000,-15000,"Peasant",0,99,12000,12000,10000m11000,10000m11000
"Sword of JuJak",0,1250000,999999,3000,0,0,50000,0,0,0,0,10000,0,"Peasant",0,99,10000,0,10000m11000,10000m11000
"Sword of Baekho",0,1250000,999999,3000,0,0,50000,0,0,0,0,10000,0,"Peasant",0,99,10000,0,10000m11000,10000m11000
"Sword of HyunMoo",0,1250000,999999,3000,0,0,50000,0,0,0,0,10000,0,"Peasant",0,99,10000,0,10000m11000,10000m11000
"Sword of ChungRyong",0,1250000,999999,3000,0,0,50000,0,0,0,0,10000,0,"Peasant",0,99,10000,0,10000m11000,10000m11000
"Yo Jon Sword",0,1250000,999999,-2000,0,0,75000,25000,0,0,0,0,0,"Rogue",0,99,-5000,-5000,10000m11000,10000m11000
"Tae Jon Cleaver",0,1250000,999999,-2000,0,0,100000,0,0,0,0,0,0,"Warrior",0,99,-5000,-5000,20000m22000,20000m22000
"Iga Ninja Sword",0,1500000,999999,0,0,0,100000,50000,0,0,0,10000,-25000,"Peasant",0,99,15000,15000,10000m11000,10000m11000
"Fan of God",0,500000,999999,-5000,0,0,0,30000,0,0,0,12000,-22000,"Peasant",0,99,22000,22000,100m100,100m100
"Gold Saber",0,25000,999999,0,0,0,20000,0,0,0,0,7000,0,"Peasant",0,99,0,0,7000m8000,7000m8000
"Saber Stick",0,25000,999999,0,0,0,20000,0,0,0,0,7000,0,"Peasant",0,99,0,0,7000m8000,7000m8000
"Elite Pike",0,25000,999999,0,0,0,20000,0,0,0,0,7000,0,"Peasant",0,99,0,0,7000m8000,7000m8000
"Ice Sword",0,500000,999999,0,0,0,5000,5000,0,0,0,9000,0,"Peasant",0,99,0,0,9000m10000,9000m10000
"Dark Maxcaliber",0,250000,999999,2000,0,0,25000,0,0,0,0,0,0,"Warrior",0,99,10000,10000,12000m13000,12000m13000
"Dark Moon Blade",0,250000,999999,2000,0,0,25000,0,0,0,0,0,0,"Rogue",0,99,10000,10000,6000m6500,6000m6500
"Dark Sadistic Staff",0,250000,999999,2000,0,0,25000,0,0,0,0,12000,0,"Mage",0,99,10000,10000,100m100,100m100
"Dark Death Brain",0,250000,999999,2000,0,0,25000,0,0,0,0,6000,0,"Poet",0,99,20000,10000,100m100,100m100
"Elite Axe Lancer",0,500000,999999,-2000,0,0,25000,0,0,0,0,0,0,"Warrior",0,99,-10000,-10000,20000m22000,20000m22000
"Elite Soldier Fork",0,500000,999999,-2000,0,0,0,12500,0,0,0,0,0,"Rogue",0,99,-10000,-10000,10000m11000,10000m11000
"Elite Sadistic Staff",0,500000,999999,-2000,0,0,0,12500,0,0,0,20000,0,"Mage",0,99,-10000,-10000,100m100,100m100
"Elite Trident Staff",0,500000,999999,-2000,0,0,0,12500,0,0,0,10000,0,"Poet",0,99,0,-10000,100m100,100m100
"Cresent Moon Blade",0,1000000,999999,0,0,0,25000,7500,0,0,0,0,0,"Peasant",0,99,0,0,9000m10000,9000m10000
"Spear of Stealth",0,1000000,999999,0,0,0,50000,0,0,0,0,10000,0,"Peasant",0,99,0,0,9000m10000,9000m10000
"Fan of Heaven",0,1000000,999999,-5000,0,0,0,35000,0,0,0,14000,-24000,"Peasant",0,99,24000,24000,100m100,100m100
"Holy Sword",0,1000000,999999,2000,0,0,30000,0,0,0,0,5000,-50000,"Peasant",0,99,10000,10000,8000m9000,8000m9000
"Darkness Rod",0,1000000,999999,0,0,0,0,40000,0,0,0,10000,0,"Peasant",0,99,0,0,100m100,100m100
"God of Light Spear",0,1500000,999999,2000,0,0,50000,50000,0,0,0,10000,-20000,"Peasant",0,99,12000,12000,10000m11000,10000m11000
"Fan of Japan",0,1000000,999999,-5000,0,0,0,40000,0,0,0,15000,-25000,"Peasant",0,99,25000,25000,100m100,100m100
"OX Sword 5",0,2500000,999999,4000,0,0,90000,90000,0,0,0,14000,-40000,"Peasant",0,99,18000,18000,14000m15000,14000m15000
"YongMa +0",0,1000000,999999,0,0,0,100000,0,3,0,0,0,0,"Warrior",0,99,10000,0,22000m24000,22000m24000
"YongChun +0",0,1000000,999999,0,0,0,75000,12500,2,0,1,0,0,"Rogue",0,99,10000,0,11000m12000,11000m12000
"YongRang +0",0,1000000,999999,0,0,0,0,50000,0,0,2,22000,0,"Mage",0,99,10000,0,100m100,100m100
"YongKyum +0",0,1000000,999999,0,0,0,50000,25000,0,2,1,11000,0,"Poet",0,99,20000,0,100m100,100m100
"OX Sword Z",0,5000000,999999,5000,0,0,150000,150000,0,0,0,15000,-50000,"Peasant",0,99,20000,20000,15000m16000,15000m16000
"Sword of Love",0,2,999999,0,0,0,0,0,0,0,0,0,0,"Peasant",0,99,0,0,0,0
"Chil San Spike",0,10000,999999,0,0,0,50000,0,0,0,0,0,0,"Warrior",3,99,0,0,20000m22000,20000m22000
"Chil San Cleave",0,10000,999999,0,0,0,37500,6250,0,0,0,0,0,"Rogue",3,99,0,0,10000m11000,10000m11000
"Chil San Wave",0,10000,999999,0,0,0,0,25000,0,0,0,20000,0,"Mage",3,99,0,0,100m100,100m100
"Chil San Charm",0,10000,999999,0,0,0,25000,12500,0,0,0,10000,0,"Poet",3,99,10000,0,100m100,100m100
"Fireworks",0,0,999999,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Nexia Sword",0,2,999999,20,100,0,200000,100000,10,10,10,15000,-100000,"Peasant",0,1,25000,25000,15000m16000,15000m16000
"Candle",0,1500,8,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Snowball",0,2,1,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Elixir Bow",0,2,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Glock 18",0,0,10000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,99,0,0,0,0
"USP Tactical",0,0,10000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,99,0,0,0,0
"Desert Eagle",0,0,10000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,99,0,0,0,0
"MP5 Navy",0,0,10000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,99,0,0,0,0
"HK UMP",0,0,10000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,99,0,0,0,0
"FN P90",0,0,10000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,99,0,0,0,0
"M3 super 90",0,0,10000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,99,0,0,0,0
"XM1014",0,0,10000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,99,0,0,0,0
"IMI Galil",0,0,10000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,99,0,0,0,0
"FAMAS",0,0,10000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,99,0,0,0,0
"AK47",0,0,10000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,99,0,0,0,0
"M4A1 Carbine",0,0,10000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,99,0,0,0,0
"SG-552 Commando",0,0,10000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,99,0,0,0,0
"Steyr AUG",0,0,10000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,99,0,0,0,0
"M249 PARA",0,0,10000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,99,0,0,0,0
"Steyr Scout",0,0,10000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,99,0,0,0,0
"AWP Magnum",0,0,10000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,99,0,0,0,0
"Flashbang",0,0,5,0,0,0,0,0,0,0,0,0,0,"Peasant",0,99,0,0,0,0
"Smoke Grenade",0,0,5,0,0,0,0,0,0,0,0,0,0,"Peasant",0,99,0,0,0,0
"HE Grenade",0,0,5,0,0,0,0,0,0,0,0,0,0,"Peasant",0,99,0,0,0,0
"C4",0,0,5,0,0,0,0,0,0,0,0,0,0,"Peasant",0,99,0,0,0,0
"Wooden Chisel",0,10000,1800,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Bronze Chisel",0,100000,14400,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Silver Chisel",0,1000000,28800,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Golden Chisel",0,10000000,43200,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Wooden String",0,10000,1800,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Bronze String",0,100000,14400,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Silver String",0,1000000,28800,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Golden String",0,10000000,43200,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Wooden Scissors",0,5000,1800,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Bronze Scissors",0,50000,14400,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Silver Scissors",0,500000,28800,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Golden Scissors",0,5000000,43200,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Wooden Net",0,5000,1800,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Bronze Net",0,50000,14400,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Silver Net",0,500000,28800,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Golden Net",0,5000000,43200,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Wooden Pickaxe",0,5000,1800,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Bronze Pickaxe",0,50000,14400,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Silver Pickaxe",0,500000,28800,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Golden Pickaxe",0,5000000,43200,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Wooden Axe",0,5000,1800,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Bronze Axe",0,50000,14400,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Silver Axe",0,500000,28800,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Golden Axe",0,5000000,43200,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Wooden Jar",0,5000,1800,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"WoodenShovel",0,12500,1,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Wooden Shovel",0,5000,1,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Boy Outfit",0,100,10000,9,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Girl Outfit",0,100,10000,9,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Chain Mail",0,500,10000,18,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Spring Costume",0,500,10000,18,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Jade Mail",0,750,50000,108,0,0,0,0,0,0,0,0,0,"Warrior",0,6,0,0,0,0
"Summer Costume",0,750,50000,108,0,0,0,0,0,0,0,0,0,"Warrior",0,6,0,0,0,0
"King Mail",0,1250,100000,288,0,0,0,0,0,0,0,0,0,"Warrior",0,16,0,0,0,0
"Autumn Costume",0,1250,100000,288,0,0,0,0,0,0,0,0,0,"Warrior",0,16,0,0,0,0
"Sky Mail",0,2000,150000,468,0,0,0,0,0,0,0,0,0,"Warrior",0,26,0,0,0,0
"Winter Costume",0,2000,150000,468,0,0,0,0,0,0,0,0,0,"Warrior",0,26,0,0,0,0
"Ancient Mail",0,3000,200000,648,0,0,0,0,0,0,0,0,0,"Warrior",0,36,0,0,0,0
"Ancient Costume",0,3000,200000,648,0,0,0,0,0,0,0,0,0,"Warrior",0,36,0,0,0,0
"Blood Mail",0,4500,250000,828,0,0,0,0,0,0,0,0,0,"Warrior",0,46,0,0,0,0
"Blood Costume",0,4500,250000,828,0,0,0,0,0,0,0,0,0,"Warrior",0,46,0,0,0,0
"Earth Mail",0,6000,300000,1008,0,0,0,0,0,0,0,0,0,"Warrior",0,56,0,0,0,0
"Earth Costume",0,6000,300000,1008,0,0,0,0,0,0,0,0,0,"Warrior",0,56,0,0,0,0
"Star Mail",0,50000,350000,1188,0,0,0,0,0,0,0,0,0,"Warrior",0,66,0,0,0,0
"Star Costume",0,50000,350000,1188,0,0,0,0,0,0,0,0,0,"Warrior",0,66,0,0,0,0
"Moon Mail",0,125000,400000,1368,0,0,0,0,0,0,0,0,0,"Warrior",0,76,0,0,0,0
"Moon Costume",0,125000,400000,1368,0,0,0,0,0,0,0,0,0,"Warrior",0,76,0,0,0,0
"Sun Mail",0,250000,500000,1548,0,0,0,0,0,0,0,0,0,"Warrior",0,86,0,0,0,0
"Sun Costume",0,250000,500000,1548,0,0,0,0,0,0,0,0,0,"Warrior",0,86,0,0,0,0
"Clothes Chainmail",0,500,10000,18,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Spring Shirt",0,500,10000,18,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Jade Chainmail",0,750,50000,108,0,0,0,0,0,0,0,0,0,"Warrior",0,6,0,0,0,0
"Summer Shirt",0,750,50000,108,0,0,0,0,0,0,0,0,0,"Warrior",0,6,0,0,0,0
"King Chainmail",0,1250,100000,288,0,0,0,0,0,0,0,0,0,"Warrior",0,16,0,0,0,0
"Autumn Shirt",0,1250,100000,288,0,0,0,0,0,0,0,0,0,"Warrior",0,16,0,0,0,0
"Sky Chainmail",0,2000,150000,468,0,0,0,0,0,0,0,0,0,"Warrior",0,26,0,0,0,0
"Winter Shirt",0,2000,150000,468,0,0,0,0,0,0,0,0,0,"Warrior",0,26,0,0,0,0
"Ancient Chainmail",0,3000,200000,648,0,0,0,0,0,0,0,0,0,"Warrior",0,36,0,0,0,0
"Ancient Shirt",0,3000,200000,648,0,0,0,0,0,0,0,0,0,"Warrior",0,36,0,0,0,0
"Blood Chainmail",0,4500,250000,828,0,0,0,0,0,0,0,0,0,"Warrior",0,46,0,0,0,0
"Blood Shirt",0,4500,250000,828,0,0,0,0,0,0,0,0,0,"Warrior",0,46,0,0,0,0
"Earth Chainmail",0,6000,300000,1008,0,0,0,0,0,0,0,0,0,"Warrior",0,56,0,0,0,0
"Earth Shirt",0,6000,300000,1008,0,0,0,0,0,0,0,0,0,"Warrior",0,56,0,0,0,0
"Star Chainmail",0,50000,350000,1188,0,0,0,0,0,0,0,0,0,"Warrior",0,66,0,0,0,0
"Star Shirt",0,50000,350000,1188,0,0,0,0,0,0,0,0,0,"Warrior",0,66,0,0,0,0
"Moon Chainmail",0,125000,400000,1368,0,0,0,0,0,0,0,0,0,"Warrior",0,76,0,0,0,0
"Moon Shirt",0,125000,400000,1368,0,0,0,0,0,0,0,0,0,"Warrior",0,76,0,0,0,0
"Sun Chainmail",0,250000,500000,1548,0,0,0,0,0,0,0,0,0,"Warrior",0,86,0,0,0,0
"Sun Shirt",0,250000,500000,1548,0,0,0,0,0,0,0,0,0,"Warrior",0,86,0,0,0,0
"Merchant Vest",0,500,10000,12,0,0,0,0,0,0,0,0,0,"Rogue",0,1,0,0,0,0
"Spring Blouse",0,500,10000,12,0,0,0,0,0,0,0,0,0,"Rogue",0,1,0,0,0,0
"Farmer Vest",0,750,50000,72,0,0,0,0,0,0,0,0,0,"Rogue",0,6,0,0,0,0
"Summer Blouse",0,750,50000,72,0,0,0,0,0,0,0,0,0,"Rogue",0,6,0,0,0,0
"King Vest",0,1250,100000,192,0,0,0,0,0,0,0,0,0,"Rogue",0,16,0,0,0,0
"Autumn Blouse",0,1250,100000,192,0,0,0,0,0,0,0,0,0,"Rogue",0,16,0,0,0,0
"Sky Vest",0,2000,150000,312,0,0,0,0,0,0,0,0,0,"Rogue",0,26,0,0,0,0
"Winter Blouse",0,2000,150000,312,0,0,0,0,0,0,0,0,0,"Rogue",0,26,0,0,0,0
"Ancient Vest",0,3000,200000,432,0,0,0,0,0,0,0,0,0,"Rogue",0,36,0,0,0,0
"Leather Blouse",0,3000,200000,432,0,0,0,0,0,0,0,0,0,"Rogue",0,36,0,0,0,0
"Blood Vest",0,4500,250000,552,0,0,0,0,0,0,0,0,0,"Rogue",0,46,0,0,0,0
"Ancient Blouse",0,4500,250000,552,0,0,0,0,0,0,0,0,0,"Rogue",0,46,0,0,0,0
"Earth Vest",0,6000,300000,672,0,0,0,0,0,0,0,0,0,"Rogue",0,56,0,0,0,0
"Earth Blouse",0,6000,300000,672,0,0,0,0,0,0,0,0,0,"Rogue",0,56,0,0,0,0
"Star Vest",0,50000,350000,792,0,0,0,0,0,0,0,0,0,"Rogue",0,66,0,0,0,0
"Star Blouse",0,50000,350000,792,0,0,0,0,0,0,0,0,0,"Rogue",0,66,0,0,0,0
"Moon Vest",0,125000,400000,912,0,0,0,0,0,0,0,0,0,"Rogue",0,76,0,0,0,0
"Moon Blouse",0,125000,400000,912,0,0,0,0,0,0,0,0,0,"Rogue",0,76,0,0,0,0
