"Mount #","Name","Monster # (RIDINGS.EPF)","Color #","Unknown 1","Speed","Alternate name"
"181","00B5",26,5,0,50,
"182","00B6",26,6,0,50,
"183","00B7",26,7,0,50,
"184","00B8",27,0,0,50,
"185","00B9",27,1,0,50,
"186","00BA",27,2,0,50,
"187","00BB",27,3,0,50,
"188","00BC",27,4,0,50,
"189","00BD",27,5,0,50,
"190","00BE",27,6,0,50,
"191","00BF",27,7,0,50,
"192","00C0",28,0,0,50,
"193","00C1",28,1,0,50,
"194","00C2",28,2,0,50,
"195","00C3",28,3,0,50,
"196","00C4",28,4,0,50,
"197","00C5",28,5,0,50,
"198","00C6",28,6,0,50,
"199","00C7",28,7,0,50,
"200","00C8",28,8,0,50,
"201","00C9",28,9,0,50,
"202","00CA",28,10,0,50,
"203","00CB",28,11,0,50,
"204","00CC",28,12,0,50,
"205","00CD",28,13,0,50,
"206","00CE",28,14,0,50,
"207","00CF",28,15,0,50,
"208","00D0",29,0,0,50,
"209","00D1",30,0,0,50,
"210","00D2",30,1,0,50,
"211","00D3",30,2,0,50,
"212","00D4",30,3,0,50,
"213","00D5",30,4,0,50,
"214","00D6",30,5,0,50,
"215","00D7",30,6,0,50,
"216","00D8",30,7,0,50,
"217","00D9",30,8,0,50,
"218","00DA",30,9,0,50,
"219","00DB",30,10,0,50,
"220","00DC",30,11,0,50,
"221","00DD",30,12,0,50,
"222","00DE",30,13,0,50,
"223","00DF",30,14,0,50,
"224","00E0",30,15,0,50,
"225","00E1",31,0,0,50,
"226","00E2",32,0,0,50,
"227","00E3",32,1,0,50,
"228","00E4",32,2,0,50,
"229","00E5",32,3,0,50,
"230","00E6",32,4,0,50,
"231","00E7",32,5,0,50,
"232","00E8",32,6,0,50,
"233","00E9",32,7,0,50,
"234","00EA",32,8,0,50,
"235","00EB",32,9,0,50,
"236","00EC",32,10,0,50,
"237","00ED",32,11,0,50,
"238","00EE",32,12,0,50,
"239","00EF",32,13,0,50,
"240","00F0",32,14,0,50,
"241","00F1",32,15,0,50,
"242","00F2",33,0,0,50,
"243","00F3",34,0,0,50,
"244","00F4",35,0,0,50,
"245","00F5",36,0,0,50,
"246","00F6",37,0,0,50,
"247","00F7",38,0,0,50,
"248","00F8",39,0,0,50,
"249","00F9",40,0,0,50,
"250","00FA",41,0,0,50,
"251","00FB",41,1,0,50,
"252","00FC",41,2,0,50,
"253","00FD",41,3,0,50,
"254","00FE",41,4,0,50,
"255","00FF",41,5,0,50,
"256","0100",41,6,0,50,
"257","0101",41,7,0,50,
"258","0102",41,8,0,50,
"259","0103",41,9,0,50,
"260","0104",41,10,0,50,
"261","0105",41,11,0,50,
"262","0106",41,12,0,50,
"263","0107",41,13,0,50,
"264","0108",41,14,0,50,
"265","0109",41,15,0,50,
"266","010A",42,0,0,50,
"267","010B",43,0,0,50,
"268","010C",44,0,0,50,
