"Name","Unknown 1","Value","Details"
"Brown skin dye",0,1000,"A little melanin for you"
"Fine rabbit meat",0,5500,"Delicious"
"Vermin scale",0,0,"Torn scales of Vermin"
"Iron cell key",0,0,"A cell key made of iron"
"Tan skin dye",0,1000,"Bronzed like a king"
"Lethal poison",0,10000,"A pure rogue poison"
"Fat doobie",0,0,"Holy shit"
"Ganja",0,0,"You know what it is."
"Spring armor dye",0,10000,"A light green color"
"Spring coat dye",0,10000,"A light green color"
"Glow dust",0,1000,"Emits an eerie glow"
"Black armor dye",0,10000,"A black color"
"Black coat dye",0,10000,"A black color"
"White armor dye",0,10000,"A white color"
"White coat dye",0,10000,"A white color"
"Bankcard",0,50000,"A card for storing items"
"Spinweed",0,10000,"Makes you spin in circles"
"Silhouette key",0,0,"Key to Silhouette hall"
"Gladiator key",0,0,""
"Teal armor dye",0,10000,"A teal color"
"Teal coat dye",0,10000,"A teal color"
"Red armor dye",0,10000,"A red color"
"Red coat dye",0,10000,"A red color"
"Boost key",0,0,""
"Bouquet of Roses",0,1000000,"Smells wonderful!"
"Death key",0,0,""
"DemiGods key",0,0,""
"Lost soul",0,0,"The lost soul of a wandering spirit"
"Ogre skin dye",0,1000," "
"Eternal wind",0,1000000,"A tornado in a gem"
"Guri Navy key",0,0,""
"Invictus key",0,0,""
"Trundel Army key",0,0,"Key to Trundel barracks"
"Name change",0,1000000,"Give this to a GM"
"Misfits key",0,0,""
"Pet turkey",0,10000,"A pet turkey! Gobble gobble"
"Shade stone",0,1000,""
"Inner Shade",0,0,""
"Shade key",0,0," "
"Inner Blackguard",0,0,""
"Blackguard stone",0,1000,""
"Mundungu stone",0,1000,""
"Inner Mundungu",0,0,""
"Templar stone",0,1000,""
"Inner Templar",0,0,""
"Cyan armor dye",0,10000,"A bright cyan color"
"Cyan coat dye",0,10000,"A bright cyan color"
"Present",0,25,"A present is inside!"
"Azusa stone",0,0,""
"Inner Azusa",0,0,""
"Selling Gold key",0,0,""
"Seeker stone",0,1000,""
"Inner Seeker",0,0,""
"Serendipity blueprints",0,100000,""
"Tatar blueprints",0,100000,""
"Guerrsang blueprints",0,100000,""
"Inner Loremaster",0,0,""
"Loremaster stone",0,1000,""
"Clearsight crystal staff blueprints",0,100000,""
"Maker's Blessing pattern",0,100000,""
"Rice seed",0,500,"Seed to plant rice"
"Water jug (empty)",0,500,"An empty water jug"
"Water jug (full)",0,500,"A full water jug"
"Hoe",0,1000,"Used for tilling fields"
"Rice",0,200,"Plain rice from a field"
"Cotton",0,500,"A material for spinning"
"Cotton seed",0,550,"Seed for cotton farming"
"Potato spud",0,500,"Spuds for potato farming"
"Potato",0,1000,"It's a potato."
"Cape dye 58",0,10000,"Possibly white, who knows"
"Cape dye 8",0,10000,"Cape dye 8"
"Cape dye 9",0,10000,"Cape dye 9"
"Cape dye 10",0,10000,"Cape dye 10"
"Perfect snowflake",0,1000,"Flawless"
"ItemXmasPresent",0,100,"A present is inside!"
"Wrapped present",0,100,"A present is inside!"
"Coat dye 89",0,10000,"A blue color possibly"
"Armor dye 89",0,10000,"A blue color dye possibly"
"Arrow poison",0,11000,"A poison for archers"
"Pet snake",0,10000,"Hisssssss"
"Armor dye 53",0,10000,"A green minty color"
"Coat dye 53",0,10000,"A minty green color"
"Brown armor dye",0,10000,"A brown color dye"
"Brown coat dye",0,10000,"A brown color"
"test1234",0,0,""
"ScarletBlade",0,0,"topkek"
"Whetstone",0,11000,"Causes a Berserker's opponents to bleed"
"Admin's dice",0,1000,"100-sided die"
"Patriots key",0,0,""
"Adrenaline key",0,0,""
"WuTang key",0,0,""
"Centurion key",0,0,""
"Gay key",0,0,""
"Misfits officer key",0,0,""
"Cat",0,10000,"A little kitty"
"KoPi",0,0,"Gross"
"Lil blob",0,10000,"A little blob pet"
"Scribe's pen",0,100000,"The pen of a scribe"
"Scribe's book",0,100000,"The book of a scribe"
"Pearl charm",0,100000,"A shiny pearl!"
"Lucky coin",0,100000,"A shiny penny!"
"Dragon's blood",0,100000,"The blood of an ancient dragon"
"Lucky silver coin",0,100000,"You're rich"
"White amber",0,100000,"A rare white amber"
"Tao stone",0,100000,"An ancient magical stone"
"Fragile rose",0,100000,"Be very careful"
"Magical dust",0,100000,"Don't use it all in one place"
"Ambrosia",0,100000,"A food of the gods"
"Hat dye 53",0,10000,"A green minty color"
"Hat dye 89",0,10000,"A blue color dye possibly"
"Hat dye black",0,10000,"A black color"
"Hat dye brown",0,10000,"A brown color dye"
"Talon of Esu blueprints",0,100000,""
"Hat dye spring",0,10000,"A green minty color"
"Anseong key",0,0,""
"Love ring",0,100000,"A phyiscal representation of love."
"White quiggy",0,10000,"A little blob pet"
"Blue quiggy",0,10000,"A little blob pet"
"Hat dye 105",0,10000,"A greenish color"
"Autumn coat dye",0,10000,"A purplish color"
"Autumn armor dye",0,10000,"A purplish color"
"Purple quiggy",0,10000,"A little blob pet"
"Whip",0,0,"Whip it good!"
"Hat dye white",0,10000,"A white color"
"Yellow flower",0,25000,"A yellow flower"
"White flower",0,25000,"A white flower"
"Red flower",0,25000,"A red flower"
"Red flower bouquet",0,100000,"A lovely bouquet of flowers"
"Yellow flower bouquet",0,100000,"A lovely bouquet of flowers"
"White flower bouquet",0,100000,"A lovely bouquet of flowers"
"Massive bouquet",0,300000,"A massive bouquet of flowers"
"Paper",0,1000,"You write on this."
"Enchanted poison",0,10000,"Spellblade poison"
"Cloth",0,300,"A bunch of woven fabric"
"Fine cloth",0,500,"A bunch of finely woven fabric"
"Winter coat dye",0,10000,"A blue color"
"Spinweed seed",0,500,"Seed to plant spinweed"
"Frozen crystal",0,0,""
"Red iron clay",0,0,""
"Armor dye 23",0,10000,"A dark nearly black color"
"Coat dye 23",0,10000,"A dark nearly black color"
"Shield poof",0,10000,"This temporarily hides your shield"
"Coat dye 32",0,10000,"A dark green and black"
"Armor dye 32",0,10000,"A dark green and black color"
"Arcanist stone",0,1000,""
"Inner Arcanist",0,1000,""
"Prominence key",0,0,""
"Ogre pet",0,10000,"A pet ogre"
"Sunfart key",0,0,""
"Porminence key",0,0,""
"Lifewarden stone",0,1000,""
"Inner Lifewarden",0,1000,""
"Lifewarden's Seed",0,100000,""
"Coat dye negative 103",0,10000,"Strange color"
"Armor dye negative 103",0,10000,"Strange color"
"Exodus key",0,0,""
"Loose ore",0,5,"Unrefined standard ore"
"Mining helmet",0,100000,"A little dusty, but it'll protect ya"
"Hat dye 27",0,10000,"Could be a blonde color"
"Cheater ace",0,0,""
"Hpnotiq",0,0,"Sip it slow"
"Cape dye 19",0,10000,"Cape dye 19"
"Hat dye 17",0,10000,"Maybe a red color?"
"Guri Support Check",0,100000,"A cashiers check supporting guri"
"Guri Benefactor Check",0,1000000,"A cashiers check supporting guri"
"Enormous tooth",0,500000,"A rather large tooth from a crocodile"
"Ancient book",0,1000000,"A very old dust covered book"
"Armor dye 38",0,10000,"A green color"
"Coat dye 38",0,10000,"Strange color"
"Hat dye negative 92",0,10000,"Pinkish color"
"Cape dye 3",0,10000,"Cape dye 3"
"Toilet",0,0,"..."
"Watthis",0,0,""
"Damaged faithkeeper",0,100000,"Merely a fragment of what once was"
"Pet dinosaur",0,10000,"A pet dinosaur"
"Pork",0,500,"Delicious"
"Wool",0,1000,"A material for spinning"
"Test Recipe",0,0,"What are you doing with this?"
"Broadsword plans",0,100000,"Plans to craft a broadsword"
"Falchion plans",0,100000,"Plans to craft a falchion"
"Tower shield plans",0,100000,"Plans to craft a tower shield"
"Mystic guard plans",0,100000,"Plans to craft a mystic guard"
"Holy shield plans",0,100000,"Plans to craft a holy shield"
"Blocker plans",0,100000,"Plans to craft a blocker"
"Crude bronze",0,5000,"A crude lump of bronze"
"Sprite charm",0,20000,"Lucky! The charm from a sprite"
"Temple relic",0,12500,"Maybe it can be repurposed?"
"Fabric",0,50,"A bunch of threads woven together"
"Fine fabric",0,200,"A bunch of fine threads woven together"
"Superior cloth",0,1000,"The best woven together fabric"
"Coarse thread",0,50,"Basic spun material"
"Fine thread",0,150,"Fine spun material"
"Rope",0,1000,"It ties things"
"Fine rope",0,5000,"It ties things... better"
"Lasso",0,5000,"Giddyup cowboy"
"Fine lasso",0,15000,"Giddyup better cowboy"
"Test horse",0,0,""
"Test horse2",0,0,""
"Test mount",0,0,""
"Lightning glyph",0,10000,"Crackling with electricity"
"Plain crystal ball",0,50000,"Nothing out of the ordinary"
"Naginata reforge plans",0,500000,"Plans to enhance a spirit naginata"
"Spirit staff reforge plans",0,500000,"Plans to enhance a spirit staff"
"Gnarled staff reforge plans",0,100000,"Plans to enhance a gnarled staff"
"Mithril key",0,50000,"A shiny mithril key"
"Greater rune",0,10000,"A large magical rune"
"Superior rune",0,25000,"A shiny magical rune"
"testmount3",0,0,""
"Dimensional orb",0,2400000,""
"Brown deer",0,1000000,"A brown deer mount"
"Green turtle",0,1000000,"A green turtle mount"
"Armored horse",0,1000000,"An armored horse mount"
"White tiger",0,1000000,"A white tiger mount"
"Zebra",0,1000000,"A zebra mount"
"Goat",0,1000000,"A goat mount"
"White bear",0,1000000,"A white bear mount"
"Hawk",0,1000000,"A hawk mount"
"Brown ox",0,1000000,"A brown ox mount"
"Brown Chicken",0,1000000,"A brown chicken mount"
"Random Mount",0,25,"A random mount is inside!"
"Blue Panther",0,1000000,"A blue panther mount"
"Golden deer",0,1000000,"A golden deer mount"
"Black deer",0,1000000,"A black deer mount"
"White deer",0,1000000,"A white deer mount"
"Golden horse",0,1000000,"A golden horse mount"
"Blue turtle",0,1000000,"A blue turtle mount"
"Purple turtle",0,1000000,"A purple turtle mount"
"Black turtle",0,1000000,"A black turtle mount"
"Blue deer",0,1000000,"A blue deer mount"
"Purple deer",0,1000000,"A purple deer mount"
"Glowing deer",0,1000000,"A glowing deer mount"
"Swift tiger",0,1000000,"A swift tiger mount"
"Man cart",0,1000000,"A cart carried by two men"
"Green bunny",0,1000000,"A green bunny mount"
"Orange beast",0,1000000,"A strange orange beast"
"Purple bear",0,1000000,"A purple polar bear"
"Big black tiger",0,1000000,"A big black tiger mount"
"Brown fox",0,1000000,"A brown fox"
"Panda",0,1000000,"A panda mount"
"White Panther",0,1000000,"A white panther mount"
"Stelihorse",0,1000000,"An armored horse mount"
"Peacock",0,1000000,"A peacock mount"
"Black dragon",0,1000000,"A black dragon mount"
"Cloud",0,1000000,"A cloud mount"
"Purple bunny",0,1000000,"A purple bunny mount"
"White bunny",0,1000000,"A white bunny mount"
"Teal ox",0,1000000,"A teal ox mount"
"Teal tiger",0,1000000,"A teal tiger mount"
"Purple chicken",0,1000000,"A purple chicken mount"
"Black chicken",0,1000000,"A black chicken mount"
"White fox",0,1000000,"A white fox mount"
"Piglet",0,1000000,"A piglet mount"
"Brown scorpion",0,1000000,"A brown scorpion mount"
"Black scorpion",0,1000000,"A black scorpion mount"
"Brown hog",0,1000000,"A brown hog mount"
"Blood wolf",0,1000000,"A blood wolf mount"
"Bat",0,1000000,"A bat mount"
"White snake",0,1000000,"A white snake mount"
"Blood dragon",0,1000000,"A blood dragon mount"
"White ninetales",0,1000000,"A white ninetales mount"
"Golden rhino",0,1000000,"A golden rhino mount"
"Random Mount 2",0,25,"A random mount is inside!"
"Dark warhorse",0,1000000,"A dark warhorse mount"
"Sea jewel reforge plan",0,500000,"Plans to enhance a sea jewel"
"TestBankcard",0,50000,"A card for storing items"
