"Mount #","Name","Monster # (RIDINGS.EPF)","Color #","Unknown 1","Speed","Alternate name"
"1","Horse",0,25,0,50,
"2","Wony's panther",1,20,0,50,";백두흑표범 (Panther)"
"90","None",6,5,0,56,";Rhodonite Dragon dog"
"91","None",6,6,0,56,";Sodalite Dragon dog "
"92","None",6,8,0,56,";Archon Dragon dog"
"93","None",6,9,0,56,";Jasper Dragon dog"
"94","None",6,12,0,56,";Phantom Dragon dog"
"95","None",6,14,0,56,";Sardonyx Dragon dog"
"96","None",6,17,0,56,";Onyx Dragon dog"
"97","None",6,18,0,56,";Tempest Dragon dog"
"98","None",6,19,0,56,";Raheem Dragon dog"
"99","None",6,20,0,56,";Ruby Dragon dog"
"100","None",6,21,0,56,";Forest Dragon dog"
"101","None",6,22,0,56,";Ivy Dragon dog"
"102","None",6,23,0,56,";Lazuli Dragon dog"
"103","None",6,24,0,56,";Aragonite Dragon dog"
"104","None",6,25,0,56,";Garnet Dragon dog"
"105","None",6,26,0,56,";Amethyst Dragon dog"
"106","None",6,27,0,56,";Bloodstone Dragon dog"
"107","None",6,28,0,56,";Topaz Dragon dog"
"108","None",6,30,0,56,";Earth Dragon dog"
"109","None",6,31,0,56,";Twilight Dragon dog"
"110","None",0,19,0,50,";White horse for Kinung"
"111","None",11,0,0,50,";Snowy polar bear"
"112","None",11,2,0,50,";Shivery polar bear"
"113","None",11,3,0,50,";Murky polar bear"
"114","None",11,4,0,50,";Algid polar bear"
"115","None",11,5,0,50,";Snappy polar bear"
"116","None",11,7,0,50,";Chilled polar bear"
"117","None",11,8,0,50,";Siberian polar bear"
"118","None",11,9,0,50,";Archon polar bear"
"119","None",11,10,0,50,";Cool polar bear"
"120","None",11,11,0,50,";Gelid polar bear"
"121","None",11,12,0,50,";Sharp polar bear"
"122","None",11,13,0,50,";Freezing polar bear"
"123","None",11,17,0,50,";Bleak polar bear"
"124","None",11,19,0,50,";Brumal polar bear"
"125","None",11,20,0,50,";Heated polar bear"
"126","None",11,21,0,50,";Raw polar bear"
"127","None",11,23,0,50,";Frost polar bear"
"128","None",11,25,0,50,";Bitter polar bear"
"129","None",11,26,0,50,";Frore polar bear"
"130","None",11,27,0,50,";Crisp polar bear"
"131","None",11,28,0,50,";Wintery polar bear"
"132","None",11,29,0,50,";Icy polar bear"
"133","None",7,0,0,50,";White tiger"
"135","None",7,2,0,50,";Brown tiger"
"136","None",7,9,0,50,";Orange tiger"
"137","None",14,7,0,50,";rabbit"
"138","None",14,11,0,50,";rabbit"
"139","None",14,12,0,50,";rabbit"
"140","None",15,0,0,50,";Eagle"
"141","None",16,2,0,50,";Blue bull"
"142","None",16,9,0,50,";Brown bull"
"143","None",16,10,0,50,";Black bull"
"144","None",16,11,0,50,";White bull"
"145","None",16,31,0,50,";Red bull"
"146","None",17,5,0,50,";Leopard"
"147","None",17,11,0,50,";Snow Leopard"
"148","None",17,10,0,50,";Black Leopard"
"149","None",18,9,0,50,";Brown chicken"
"150","None",18,11,0,50,";White chicken"
"151","None",19,4,0,50,";Fox"
"152","None",19,11,0,50,";Snow fox"
"153","None",20,3,0,50,";panda"
"154","None",21,9,0,50,";Pig"
"155","None",21,10,0,50,";Black pig"
"156","None",22,4,0,50,";Scorpion"
"157","None",22,28,0,50,";Black Scorpion"
"158","None",22,31,0,50,";Red Scorpion"
"159","None",23,3,0,50,";Brown Warthog"
"160","None",23,10,0,50,";Black warthog"
"161","None",24,3,0,50,";Brown wolf"
"162","None",24,10,0,50,";Black wolf"
"163","None",24,11,0,50,";White wolf"
"164","None",26,4,0,50,";Purple bat"
"165","None",26,5,0,50,";Blue bat"
"166","None",26,7,0,50,";Black bat"
"167","None",26,8,0,50,";White bat"
"168","None",26,11,0,50,";Green bat"
"169","None",27,31,0,50,";Purple snake"
"170","None",27,2,0,50,";Black snake"
"171","None",27,3,0,50,";White snake"
"172","None",27,4,0,50,";Brown snake"
"173","None",27,6,0,50,";Green snake"
"174","None",25,0,0,50,";Black peacock"
"175","None",25,5,0,50,";Red peacock"
"176","None",25,7,0,50,";Purple peacock"
"177","None",25,16,0,50,";Floral peacock"
"178","None",25,13,0,50,";Blue peacock"
"179","None",25,12,0,50,";Green peacock"
"180","None",13,1,0,50,";Green Gama"
"181","None",13,2,0,50,";Brown Gama"
"182","None",13,7,0,50,";Black Gama"
"183","None",13,8,0,50,";White Gama"
"184","None",13,9,0,50,";Tan Gama"
"185","None",13,19,0,50,";Blue Gama"
"186","None",13,31,0,50,";Orange Gama"
"187","None",28,1,0,50,";Green Firetail"
"188","None",28,8,0,50,";Blue Firetail"
"189","None",28,9,0,50,";Brown Firetail"
"190","None",28,7,0,50,";Purple Firetail"
"191","None",28,10,0,50,";Black Firetail"
"192","None",28,14,0,50,";Dark Green Firetail"
"193","None",28,29,0,50,";White Firetail"
"194","None",28,30,0,50,";Gold Firetail"
"195","None",28,31,0,50,";Red Firetail"
"196","None",28,3,0,50,";Stone Firetail"
"197","None",29,0,0,50,";Husky"
"198","None",30,2,0,50,";Blue ninetails"
"199","None",30,9,0,50,";Brown ninetails"
"200","None",30,24,0,50,";Purple ninetails"
"201","None",30,28,0,50,";Black ninetails"
"202","None",30,29,0,50,";White ninetails"
"203","None",30,30,0,50,";Gold ninetails"
"204","None",30,31,0,50,";Red ninetails"
"205","None",31,0,0,50,";Pegasus"
"206","None",32,1,0,50,";Green Rhino"
"207","None",32,8,0,50,";Blue Rhino"
"208","None",32,9,0,50,";Brown Rhino"
"209","None",32,7,0,50,";Purple Rhino"
"210","None",32,10,0,50,";Black Rhino"
"211","None",32,14,0,50,";Dark Green Rhino"
"212","None",32,29,0,50,";White Rhino"
"213","None",32,30,0,50,";Gold Rhino"
"214","None",32,31,0,50,";Red Rhino"
"215","None",32,3,0,50,";Stone Rhino"
"216","None",34,0,0,50,";White cloud"
"217","None",34,5,0,50,";Dark cloud"
"218","None",34,8,0,50,";Evening cloud"
"219","None",34,22,0,50,";Moonlight cloud"
"220","None",34,31,0,50,";Sunrise cloud"
"221","None",39,0,0,50,";Snow Winter Fox"
"222","None",39,5,0,50,";Black Winter Fox"
"223","None",39,12,0,50,";Ice Winter Fox"
"224","None",39,13,0,50,";Blue-tip Winter Fox"
"225","None",39,19,0,50,";Pink Winter Fox"
"226","None",39,25,0,50,";Purple Winter Fox"
"227","None",39,27,0,50,";Gold Winter Fox"
"228","None",39,28,0,50,";Night Winter Fox"
"229","None",39,29,0,50,";Brown Winter Fox"
"230","None",39,30,0,50,";Purple-tip Winter Fox"
"231","None",39,31,0,50,";Stealth Winter Fox"
"232","None",41,1,0,50,";Green Bobcat"
"233","None",41,8,0,50,";Blue Bobcat"
"234","None",41,9,0,50,";Brown Bobcat"
"235","None",41,7,0,50,";Purple Bobcat"
"236","None",41,10,0,50,";Black Bobcat"
"237","None",41,14,0,50,";Dark Green Bobcat"
"238","None",41,29,0,50,";White Bobcat"
"239","None",41,30,0,50,";Gold Bobcat"
"240","None",41,31,0,50,";Red Bobcat"
"241","None",41,3,0,50,";Stone Bobcat"
"242","None",42,0,0,50,";Festive dragon"
"243","None",43,0,0,50,";Rudolph sleigh"
"244","None",34,2,0,50,";Pink cloud"
"245","None",44,0,0,50,";Black elephant"
"246","None",44,2,0,50,";brown elephant"
"247","None",44,4,0,50,";Maroon elephant"
"248","None",44,8,0,50,";Green elephant"
"249","None",44,246,0,50,";Slateblue elephant"
"250","None",45,0,0,50,";P lamb"
"251","None",45,12,0,50,";G lamb"
"252","None",45,6,0,50,";Y lamb"
"253","None",46,0,0,50,";Brown lion"
"254","None",46,56,0,50,";Grey lion"
"255","None",46,248,0,50,";Silver lion"
"256","None",47,0,0,50,";Green lama"
"257","None",47,18,0,50,";Silver lama"
"258","None",48,0,0,50,";Purple elk"
"259","None",48,4,0,50,";Brown elk"
"260","None",48,6,0,50,";Gold elk"
"261","None",48,10,0,50,";Olive elk"
"262","None",48,8,0,50,";Green elk"
"263","None",48,28,0,50,";Grey elk"
"264","None",49,0,0,50,";Green ceratops"
"265","None",49,5,0,50,";Cyan ceratops"
"266","None",49,21,0,50,";Red ceratops"
"267","None",49,224,0,50,";Black ceratops"
"268","None",50,0,0,50,";Fennec"
"269","None",51,0,0,50,";Pomeranian"
"270","None",52,0,0,50,";Yellow anteater"
"271","None",52,198,0,50,";Brown anteater"
"272","None",52,199,0,50,";Purple anteater"
"273","Arawn's stag",3,11,0,50,";Special druid mount (albino buck)"
"274","None",40,0,0,50,";Donkey mount (Fox Hunt prize 1)"
"275","None",35,0,0,50,";Armored horse mount (Fox Hunt prize 2)"
"276","None",36,0,0,50,";Better armored horse mount (Fox Hunt prize 3)"
