"Name","Unknown 1","Value","Durability","Armor","Hit","Damage","Vitality","Mana","Might","Grace","Will","Unknown 2","Unknown 3","Class","Unknown 4","Level","Regen","Protection","Damage S","Damage L"
"Mulberry casual hair",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Mana Balance 278",1,10,1000000,0,0,0,0,-2780000,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Black nightfall shield",1,20000,300000,-3,0,0,500,1000,0,-1,3,0,0,"Poet",1,99,6,0,0,0
"Grey long messy bed hair",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Drop fillet30",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Short titanium baji",1,1000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Jinni white silks",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Blackberry baeja knot",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"White slick hair",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Bronze odango",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Tiny mystic crown",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Jacko lantern",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Shamrock Choson",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Buya helm",1,10000,30000,-10,0,0,0,0,0,0,0,0,0,"Peasant",0,0,20,0,0,0
"White bear",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Black male kimono",1,1000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Ivy scarlet cap",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Love bunnies",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Violet Koromo robe",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Gold curly pigtails",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Brown paw",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Clever kyopok skirt",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Woodwind baladi dress",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Power cap blue 3",1,20000,100000,-46,1,5,250,100,3,-1,3,0,0,"5",5,99,0,5,0,0
"Black female pom beanie",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"goddess gown6",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Winter teal coat",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"De's light geostew",1,180000,80000,-1,0,0,0,1500,0,-5,4,0,0,"Peasant",0,11,0,0,0,0
"Ruby imperial robes",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Test3",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Remembrance Fan",0,100,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,11,0,0,1m2,1m2
"Black ranch coat",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Vitality Balance 49",1,10,1000000,0,0,0,-980000,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Dreadscale Mail",10,80000,200000,-40,1,0,1000,1500,1,1,1,0,0,"Rogue",3,99,20,0,0,0
"Gold kyunwoo hanbok",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Mana Balance 145",1,10,1000000,0,0,0,0,-1450000,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Golden reverb shield",1,20000,300000,-5,0,0,500,0,0,-1,0,0,0,"Warrior",0,69,1,1,0,0
"Green-blue ringed gown",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Archon long skirt",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Red bonnet",1,1000,40000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"regal vestment8",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Orange elven tie",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Jinni silks2",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Hwalot vanilla hat",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Yellow pinned flower",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Argent goth hair",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Kaneli butterfly wings",1,1000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Yellow Mary Janes",1,1000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Lucky Lantern",1,20000,300000,-2,1,0,100,100,1,1,0,0,0,"Peasant",0,0,30,0,0,0
"Platinum jubilee gauntlet",1,50000,20000,-2,0,0,0,0,0,0,0,0,0,"Peasant",0,11,0,2,0,0
"Sunny musketeer hair",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Sa San Dakashi Blade",30,1000000,500000,-11,5,6,7500,5000,2,2,1,0,0,"Rogue",4,99,3,0,170m270,170m270
"Orchid ruffled hair",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Red rose bud",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Cerulean tea skirt",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Indigo butterfly hair",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Vitality Balance 245",1,10,1000000,0,0,0,-4900000,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Magnolia wreath",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Tea rose kanzashi",1,1000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"baladi hair16",1,5000,270000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Thin castor scarf",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Golden guan",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"White hair bun",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Girl test8",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Chocolate candy heart",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,1m20,1m20
"Tea dainty bonnet",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Light green illuminate cloak",1,50000,25000,-3,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Smooth kunoichi tunic",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Bellflower ribboned hair",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Fern pirate footwear",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Lilac ball gown",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Seashell gomooshin",1,1000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Blue necklace",1,5000,10000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Nalgun foliole",1,50000,40000,-8,1,1,0,350,2,0,0,0,0,"Peasant",3,99,2,1,0,0
"Bubbly holiday cap",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"angel garb23",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Tan stuffed bunny",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,1m20,1m20
"Lavender Valentine bow hair",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"tako hat14",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Mana Balance 212",1,10,1000000,0,0,0,0,-2120000,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Shimmering quipaor",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Ancient Kung fu",1,1000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Copper love jokduri",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Mystic gold necklace",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Festive mountaineer garb",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Moody pinwheel",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Blue archangel wings",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"White laceband hair",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Tan damsel collar",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Thousand strikes",35,400000,150000,5,0,0,0,23000,0,-1,9,0,0,"Peasant",2,99,0,0,10m20,15m25
"Lucky top hat",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Navy rudolph male coat",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Ninja lance",0,20000,60000,0,-1,0,0,0,0,0,0,0,0,"Peasant",0,11,0,0,30m70,40m70
"Moonlit rosy crown",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Sunrise sarong",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Heavy Ravage sword",115,400000,320000,-5,4,3,24000,12000,2,2,2,0,0,"Peasant",3,99,0,0,180m360,180m360
"Amethyst skating dress",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Leaf long sweep",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Vitality Balance 180",1,10,1000000,0,0,0,-3600000,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Cadet pom garb",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Mana Balance 15",1,10,1000000,0,0,0,0,-150000,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Fancy mountaineer attire",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"ember whiskers",1,20000,1,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Bad image do not use 2004060702",1,75000,50000,-10,0,0,75,75,0,4,0,0,0,"Peasant",0,11,15,0,0,0
"Tan wise hair",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Cerulean ethereal gown",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Sunlit breezy cut",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Hellish Battle Plate",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Sun sunset glasses",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Ruby circle",1,50000,250,-10,0,0,0,0,0,8,0,0,0,"Peasant",0,10,10,5,0,0
"Winter ruby hat",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Holly Shimui",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Blue nightgown",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Victorian goth locks",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Brown bow robe",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Her sleepy pjs",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Fiery tousled cut",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Deepsky velutinous coat",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Vitality Balance 115",1,10,1000000,0,0,0,-2300000,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Fur hat",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Black spiked cut",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Black Valentine dress",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Bart's",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Mana Balance 279",1,10,1000000,0,0,0,0,-2790000,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Black nocturnal shield",1,20000,300000,-4,0,0,1000,2000,0,-1,4,0,0,"Poet",2,99,8,0,0,0
"White long messy bed hair",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Drop fillet31",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Short earth baji",1,1000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Jinni brown silks",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Raspberry baeja knot",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Unearthly JiPanEe Tai",20,50000,100000,0,0,0,10000,10000,0,0,10,0,0,"Poet",1,99,100,0,50m75,50m75
"Black slick hair",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Pale pink odango",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Tiny black crown",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Jackie lantern",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Golden Choson",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Buya helmet",1,10000,30000,-10,0,0,0,0,0,0,0,0,0,"Peasant",0,0,20,0,0,0
"Covenant sword",0,5000,1000000,0,5,5,0,0,0,0,0,0,0,"Peasant",0,50,0,0,50m100,50m110
"Crazy eyewear",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Brown male kimono",1,1000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Ancient Luck amulet",40,500000,220000,-13,0,9,6600,1100,4,4,0,0,0,"Peasant",3,99,0,2,0,0
